id,review_point,title,comment,date,user_id,shop_id,
1,5,個室がすごい使いやすい,個室がすごい使いやすい,2020-11-30,1,52,
2,5,しずかで作業しやすい,しずかで作業しやすい,2020-08-04,1,7,
3,5,堂島にあるコワーキング,堂島にあるコワーキング,2021-01-11,1,26,
4,4,完全個室だから会議もできる,完全個室だから会議もできる,2020-10-14,1,55,
5,5,開放的な空間,開放的な空間,2020-12-06,1,4,
6,4,軽食も美味しくておすすめ,軽食も美味しくておすすめ,2020-09-30,1,7,
7,4,閉まるのが少しだけ早いかな？,閉まるのが少しだけ早いかな？,2020-11-13,1,15,
8,4,無休なのがありがたい,無休なのがありがたい,2020-12-30,1,24,
9,4,電源wifiが完備,電源wifiが完備,2020-10-27,1,63,
10,4,カフェが空いていない時に使います,カフェが空いていない時に使います,2020-10-07,1,50,
11,4,フリーランスが多くて刺激になる！,フリーランスが多くて刺激になる！,2020-12-08,1,28,
12,4,夜遅くまで営業しているのが◎,夜遅くまで営業しているのが◎,2020-08-03,1,71,
13,4,しずかで集中できる場所,しずかで集中できる場所,2020-08-09,1,19,
14,3,おしゃれ,おしゃれ,2020-11-09,1,7,
15,5,広いスペースで作業ができる,広いスペースで作業ができる,2020-09-21,1,77,
16,3,しずかで集中して作業できる,しずかで集中して作業できる,2020-12-05,1,73,
17,4,オープンテラスが気持ちいい！,オープンテラスが気持ちいい！,2020-09-05,1,16,
18,4,満喫での作業も◎,満喫での作業も◎,2020-08-10,1,54,
19,5,会議には少し使いにくい,会議には少し使いにくい,2020-08-12,1,51,
20,4,ワーケーションのときとかおすすめ,ワーケーションのときとかおすすめ,2020-10-06,1,52,
21,5,フリードリンクなのがあり,フリードリンクなのがあり,2020-08-30,1,44,
22,4,会議には少し使いにくい,会議には少し使いにくい,2020-07-13,1,43,
23,4,おしゃれな雰囲気で作業しやすい,おしゃれな雰囲気で作業しやすい,2020-11-30,1,19,
24,3,いつでも空いているのがいいところかな,いつでも空いているのがいいところかな,2020-10-16,1,41,
25,4,24時間営業なのは満喫だけやな,24時間営業なのは満喫だけやな,2020-12-30,2,58,
26,4,開放的な空間,開放的な空間,2020-08-10,2,2,
27,3,快適に仕事ができます！,快適に仕事ができます！,2020-07-05,2,35,
28,3,安定のスタバ！,安定のスタバ！,2020-09-16,2,9,
29,4,かっこいいビルにあるコワーキング,かっこいいビルにあるコワーキング,2020-08-31,2,33,
30,5,平日は静か,平日は静か,2020-09-26,2,72,
31,3,開放的で少し集中しづらいかな？,開放的で少し集中しづらいかな？,2020-07-31,2,20,
32,5,意外と図書館での作業も悪くない！？,,2020-09-02,2,81,
33,5,満喫での作業は意外とおすすめ,,2020-07-23,2,56,
34,3,フリーランス仲間が集まるコワーキング,,2020-07-25,2,30,
35,3,平日は意外と静か,,2020-12-03,2,38,
36,3,意外と図書館での作業も悪くない！？,,2020-08-25,2,78,
37,4,席の距離が良い感覚,,2020-10-28,2,16,
38,3,駅構内なので、新幹線が来るまでの作業に,,2020-12-12,2,12,
39,3,意外とカラオケも使えるかも,,2020-08-07,2,47,
40,5,駅チカで使いやすい,,2020-11-27,2,63,
41,3,電源wifiが完備,,2020-10-24,2,54,
42,5,人が少なくて狙い目！,,2020-09-06,2,7,
43,4,休日は人が多いのでおすすめしないです,,2020-08-19,2,71,
44,4,意外とカラオケも使えるかも,,2020-11-30,2,39,
45,5,カフェが空いていない時に使います,,2020-08-13,2,42,
46,3,家がある変わった場所,,2020-07-25,3,36,
47,5,お店全体の雰囲気もよし,,2020-10-29,3,52,
48,5,ロイヤルホストでの作業も悪くない,,2020-12-09,3,72,
49,5,ローテーブルが少しだけ何店,,2020-11-11,3,40,
50,4,駅前なのが◎,,2020-08-28,3,29,
51,5,駅から近いカフェ,,2020-08-07,3,23,
52,5,時間単位なのが集中できる,,2020-11-10,3,58,
53,4,ケーキも美味しい,,2020-11-16,3,18,
54,5,席数が多くて使いやすい,,2020-07-15,3,3,
55,4,クリエイターにおすすめなコワーキング,,2020-08-27,3,37,
56,5,雰囲気がとても良い,,2020-10-17,3,1,
57,4,雰囲気ばつぐん,,2020-09-25,3,13,
58,4,おしゃれ！,,2020-07-13,3,2,
59,5,おしゃれな雰囲気,,2020-12-16,3,3,
60,3,個室だから集中できる,,2020-12-21,3,62,
61,4,平日は意外と静か,,2020-08-24,3,46,
62,5,おしゃれすぎる,,2020-08-28,3,21,
63,3,個室で集中しやすい,,2020-07-12,3,53,
64,4,ゆっくりくつろげる,,2021-01-10,3,18,
65,3,電源、wifi 完備,,2020-07-01,3,16,
66,3,24時まで空いているファストフード店,,2020-07-15,3,72,
67,4,また利用したい！,,2020-08-03,3,52,
68,5,落ち着いて作業できた,,2020-09-03,4,6,
69,4,全面禁煙で心地よい空間,,2020-11-02,4,73,
70,4,息抜きに読書ができる素敵なカフェ,,2020-07-27,4,15,
71,3,コスパがよい,,2020-09-11,4,75,
72,4,ドリンクバーがありがたい,,2020-12-30,4,67,
73,5,満喫での作業も◎,,2020-12-06,4,63,
74,5,クリエイターにおすすめなコワーキング,,2020-12-21,4,31,
75,5,静かだから作業しやすい,,2020-08-22,4,61,
76,3,建物が伝統的,,2020-10-13,4,82,
77,5,中国茶が美味しかった！,,2020-09-08,4,6,
78,3,低コストで利用できるのが◎,,2020-12-01,4,32,
79,4,めっちゃ広い！！,,2020-07-07,4,80,
80,3,静かだから作業しやすい,,2020-08-06,4,78,
81,5,毎週月曜日は休みなので注意！,,2020-09-05,4,79,
82,3,いつでも空いているのがいいところかな,,2020-10-21,4,49,
83,3,ホテルの中にあるから騒がしくない,,2020-09-01,4,7,
84,5,駅チカがありがたい,,2020-12-04,4,53,
85,3,珈琲が美味しい,,2020-07-14,4,4,
86,5,クロワッサンが美味しかった,,2020-08-28,5,8,
87,5,チャイティーが美味しい,,2020-11-27,5,16,
88,5,静かだから作業しやすい,,2020-07-31,5,81,
89,5,営業時間が長いのは◎,,2020-11-10,5,65,
90,4,休憩も兼ねて使える,,2020-12-20,5,63,
91,5,平日はあり,,2020-12-15,5,7,
92,3,落ち着いた雰囲気が良い！,,2020-07-06,5,3,
93,4,学生が多いスペース,,2020-12-20,5,83,
94,5,ローテーブルが少しだけ何店,,2020-10-18,5,48,
95,5,気軽に使いやすい,,2020-07-18,5,58,
96,3,高槻にある満喫,,2020-11-27,5,62,
97,4,ロイヤルホストでの作業も悪くない,,2020-12-24,5,74,
98,4,静かだから作業しやすい,,2020-07-21,5,53,
99,5,使いやすい場所,,2020-11-22,5,2,
100,3,駅直結,駅直結なのがありがたい,2020-10-21,5,2,
